Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_temp,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_temp,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_temp,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_temp,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_temp,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_temp,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_temp,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_temp,avg3y_avg5d_co
1,1,210,99.75,16,30.75,0,15.75,234.3333333,113.3333333,15.33333333,30.33333333,0,17,93,64,5,31,0,11,281.8,258.6,8.4,48.6,0,39.6,154.2,69.6,16.8,27.8,0,14,51.2,39.6,17.6,13.6,0,5.2,110.2,69.2,11.2,28.4,0,10.6,162.4,122.6,14.26666667,30,0,19.6
1,2,150,137,9,45.5,0,28.75,159,136,10.66666667,42.33333333,0,27,132,51,9,33,0,11,312,301.4,7,58.4,0,48.2,135.4,51,17.2,20.8,0,9.2,68.2,49.8,14.4,21.4,0,8.8,111,71,8.8,32.2,0,12.2,171.8666667,134.0666667,12.86666667,33.53333333,0,22.06666667
1,3,220.6,123.6,17.4,34.4,0,24,210,150.6666667,16.66666667,32.33333333,0,26,124,45,23,27,0,9,367.8,334.4,7.4,62.2,0,54,97.6,38.8,16.8,17.8,0,6.2,102.2,50,15.8,22.2,0,9.4,123.6,65.4,12.2,31.2,0,12.2,189.2,141.0666667,13.33333333,34.06666667,0,23.2
1,4,177.6,81,20,29,0,18.2,182.6666667,82.66666667,14.66666667,30.66666667,0,21,98,63,5,32,0,13,391.6,301.4,7.6,59.2,0,53,73.4,38.4,17.2,18.8,0,6.8,107.8,50.2,16.4,22.8,0,10,119.8,61,12.4,30.8,0,11.8,190.9333333,130,13.73333333,33.6,0,23.26666667
1,5,130.2,62.2,16.2,30,0,15.4,140.6666667,80,10,35.66666667,0,21.66666667,152,21,12,25,0,9,372,245.2,7.4,58,0,50.4,73.4,33,18.6,18.4,0,5.6,110.6,59.4,14.4,26.4,0,11.6,119.8,48.8,10.8,29.6,0,10.6,185.3333333,112.5333333,13.46666667,34.26666667,0,22.53333333
1,6,128.4,66.8,16.4,27.6,0,14.6,158,82.33333333,16.33333333,29.33333333,0,17.66666667,149,19,24,11,0,3,331.8,225,4.6,57,0,51,61.6,35.2,19.2,20,0,5.8,116.8,58.8,17.2,25.2,0,11.2,131,39.8,14.6,25.6,0,9,170.0666667,106.3333333,13.66666667,34.06666667,0,22.66666667
1,7,99,60.5,19,23,0,11,101.5,38.5,26,8.5,0,3,57,24,28,14,0,4,292.6,178.8,7,45.4,0,41.2,66,40,19.8,19.2,0,5.4,112.2,44.2,21.8,18.8,0,7.6,116,34.4,18.4,21.8,0,7.6,156.9333333,87.66666667,16.2,27.8,0,18.06666667
1,8,95.8,58.4,18.8,25.2,0,9.6,59.33333333,47.33333333,19,16.33333333,0,5.333333333,63,32,16,25,0,6,231.4,109,10,35.4,0,29,67.6,41.4,21.6,17,0,5.2,81.4,48,19.2,21.8,0,7.6,103.8,31.8,17,21.4,0,7,126.8,66.13333333,16.93333333,24.73333333,0,13.93333333
1,9,103.8,66.4,15.4,31,0,13.6,76.33333333,48.66666667,18,20,0,7,127,33,27,19,0,5,158.2,88,10.6,33.2,0,22.4,64.2,36.4,23.2,12.4,0,3.8,93,59,16,26.2,0,9,109.6,25.8,21.4,18.8,0,5.4,105.1333333,61.13333333,16.6,23.93333333,0,11.73333333
1,10,126.8,46.6,18,24.6,0,8.4,88,59.33333333,13.33333333,29.66666667,0,11,83,20,23,12,0,3,131.8,69.2,14.6,28,0,14.4,51.8,36.2,23.6,11,0,3.8,115.8,62.6,16.8,27,0,9.4,95.8,25.6,23.6,16.2,0,4.2,99.8,56,18.33333333,22,0,9.2
