Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,104.25,54.25,31.5,43.5,5,7.5,96.33333333,47.66666667,28.66666667,40.33333333,4.333333333,7.333333333,83,32,33,37,3,7,90.4,36,32.4,42,4.4,9.2,104.6,45.6,38.6,35.2,3,6.6,92.8,41,18.8,35.4,4.2,7.4,88.4,41,41.4,42,3.8,8.4,95.93333333,40.86666667,29.93333333,37.53333333,3.866666667,7.733333333
1,2,110.75,39.75,25.75,41,4,6.75,98.33333333,36.33333333,24.33333333,36.66666667,3.666666667,7,73,47,34,45,3,8,87.6,37.2,31.8,38.2,4.4,9.4,92.6,40.2,35.2,33.2,2.6,5.75,85,37,15.6,33.6,4,7.2,85.2,39,38,39.4,3.4,8.2,88.4,38.13333333,27.53333333,35,3.666666667,7.45
1,3,82.6,37.8,25,35.2,3.2,6.4,79.66666667,33,28.33333333,33.33333333,3,6.666666667,96,46,39,45,3,7,89.8,41.6,33.2,41.2,5.4,9.8,82.8,44.4,35.6,34,2.8,5.75,77.6,36.6,13.8,33.8,4,7.4,81.2,42.2,37.6,40.6,3.2,7.8,83.4,40.86666667,27.53333333,36.33333333,4.066666667,7.65
1,4,77,44.6,17.8,44.2,4.6,9,75.33333333,48.66666667,17.33333333,47,5,10.33333333,101,29,38,24,3,6,89.6,41.2,32,36.6,5,10,96.6,47.6,37.8,34.6,2.8,6.25,78,47.4,11.8,40,5,9.2,88.8,38.6,36.8,37.6,3.2,7.2,88.06666667,45.4,27.2,37.06666667,4.266666667,8.483333333
1,5,97.2,35.2,17.2,40.8,5.2,7.8,103.6666667,32.66666667,19,30.33333333,3,8,68,29,33,33,3,6,90.4,42.4,28.4,37.2,4.8,9.8,106,47.8,37.8,32.6,2.8,6,96.8,46.2,10.4,39,5,9.8,84.2,36.6,35.4,36.8,3,6.8,97.73333333,45.46666667,25.53333333,36.26666667,4.2,8.533333333
1,6,81.2,32.2,23,38.8,4.6,8,76,27.33333333,24.33333333,30.66666667,2.333333333,7,62,37,30,50,4,9,92,41.6,25.8,41.2,4.6,10.4,102.8,48,38,29.8,2.6,6,97.6,45.6,12.8,38.6,4.6,9.8,80,37.6,34.8,39.4,3.2,7.2,97.46666667,45.06666667,25.53333333,36.53333333,3.933333333,8.733333333
1,7,76.6,43.4,25,51,5.8,10.2,62.33333333,43.33333333,22.33333333,48.66666667,6,10.33333333,69,35,38,46,4,9,89.8,42.2,24.6,46.8,4.6,10.8,103,45.8,35,31.4,2.6,6,96,52.8,12.4,41,5,10.4,79.2,35.2,35.6,39.6,3.4,7.4,96.26666667,46.93333333,24,39.73333333,4.066666667,9.066666667
1,8,103,46.2,31.8,40.8,4,8.6,101.6666667,42.33333333,30.33333333,38,3.333333333,9.333333333,64,42,44,35,2,8,87.6,42.8,25.2,46.2,3.8,10.4,100.6,35.4,30,28.8,2.2,5.6,109.6,54.8,14.4,40,4.8,10.6,72.8,34.4,36.6,37.6,3.2,7.6,99.26666667,44.33333333,23.2,38.33333333,3.6,8.866666667
1,9,105,45.2,31.6,39.4,4.2,7.2,98.33333333,38,31.33333333,38,3.666666667,7.666666667,73,45,39,40,2,8,88.2,41.6,26.6,43.6,3.4,9,78.6,24,24.8,25,1.8,5,111.2,45.2,20.4,35,3.6,9.2,67.2,37.6,36.8,40.8,3,8,92.66666667,36.93333333,23.93333333,34.53333333,2.933333333,7.733333333
1,10,100,42.4,30.4,42.8,4.4,7.2,84.33333333,44.66666667,31.66666667,43.66666667,4,7.666666667,88,49,35,44,3,7,83.4,41.6,28.8,43.6,3.6,8.2,56.4,18.8,20.6,25,1.8,5.6,94.8,46.8,24,39,3.6,9,71.2,41.6,37.2,43,3,8.2,78.2,35.73333333,24.46666667,35.86666667,3,7.6
1,11,99.2,51.6,20.8,48.4,5,9,101.3333333,62.33333333,22.66666667,52.33333333,5.666666667,10,97,44,32,37,3,0,74.6,41.4,29.4,42.4,3.8,7.6,51.4,19.6,19.2,28.2,2.2,6,98.2,58.2,20.2,46.8,4.8,10.4,78.2,43,37.6,40.4,2.8,8,74.73333333,39.73333333,22.93333333,39.13333333,3.6,8
1,12,110.4,32,24.8,36.6,3,7.8,125,36.33333333,25.33333333,31,2.666666667,8.333333333,79,35,32,35,2,0,83.6,38.4,31,39.2,3.4,7,56.8,19.6,20.4,31,2.8,5.8,115.8,54,24.6,42.8,4.2,9.8,80.2,43,36.4,38.2,2.4,7.666666667,85.4,37.33333333,25.33333333,37.66666667,3.466666667,7.533333333
1,13,74.8,34.6,23.4,38.2,3,7.8,80.33333333,32.66666667,23.33333333,31.33333333,2.666666667,9,72,39,40,39,2,8,85.8,33.8,30,40.2,3.6,7.4,55.2,22.2,22.6,36.6,3.6,5.6,108,55,24.4,43.8,4.2,10,81.8,42.4,35.6,39,2.4,7.666666667,83,37,25.66666667,40.2,3.8,7.666666667
1,14,80.6,35.6,25.4,43.4,3.6,7.6,77.66666667,36.33333333,27.33333333,41.33333333,3.333333333,8.333333333,83,47,39,33,2,7,90.4,37.4,30.2,44.8,4.2,8.2,58.8,25.8,24.8,41.4,4.2,5.6,112.6,55,25,45.4,4.2,10.4,83.8,42.8,35.6,37.6,2.4,7.333333333,87.26666667,39.4,26.66666667,43.86666667,4.2,8.066666667
1,15,87.8,40.8,22,44.2,5,8.2,87.33333333,38.66666667,22.33333333,41.33333333,5,9.333333333,88,49,33,33,2,8,97.2,37.2,30.4,43.2,3.8,8.6,65.8,31.2,29.4,41.6,4.2,5,115.4,53.2,22.4,43.8,4.2,11,83.8,42.8,35.2,35.4,2.2,7.666666667,92.8,40.53333333,27.4,42.86666667,4.066666667,8.2
1,16,89.6,47.2,27.6,48.8,6,8.4,83,51,28,53,7,9.333333333,103,42,20,45,4,0,103.6,39.4,33.8,48,4.8,9.4,72,30.2,31.2,38.8,4,5,109,41.4,26.2,38,3.2,10.4,85,42.4,32.8,37,2.4,7.666666667,94.86666667,37,30.4,41.6,4,8.266666667
1,17,100.6,47,32.2,43.6,4.2,8.2,100.3333333,45.66666667,32,41.33333333,3.333333333,8.666666667,77,28,26,33,2,0,111.8,42.2,34.4,48.6,4.8,10.4,65.6,32,32.6,40,3.8,5.2,89.4,42.2,25.4,40.8,3.4,11,84.6,41,31.6,36.6,2.4,7.666666667,88.93333333,38.8,30.8,43.13333333,4,8.866666667
1,18,104.2,50.6,30,46,4.6,7.8,97.33333333,48.66666667,29.33333333,44.66666667,3.666666667,8.666666667,62,39,30,28,2,8,124.8,45.4,35.6,45.4,4.6,10.4,68.2,34.8,32.4,41.6,4.4,6,86.8,42.8,27.8,42,3.4,10.6,82.6,41,29.6,34.4,2.4,7.666666667,93.26666667,41,31.93333333,43,4.133333333,9
1,19,112.8,43,33.2,38.6,3,7.6,105,34,31.66666667,37,2.666666667,8.666666667,85,36,25,42,2,8,113.6,48.4,37.4,43.8,4.4,10.6,73.2,46.6,32.6,48.8,6.4,7.4,83.8,41,28.4,40,3.2,10,83,38.8,26.8,36.2,2.4,8,90.2,45.33333333,32.8,44.2,4.666666667,9.333333333
1,20,98.6,56.2,28,51.8,8.4,9.8,79.66666667,51,31.33333333,45.66666667,5,10,80,39,36,36,2,0,103,54.4,38,44.2,4.6,11,94.2,48.8,33.6,51.6,6.6,8,78.2,41.6,31.8,42,3.4,9.8,81.4,36.8,27.4,36.8,2.4,8,91.8,48.26666667,34.46666667,45.93333333,4.866666667,9.6
1,21,118.8,54.8,25.4,55.6,7.4,9.6,113,67.33333333,32,60.66666667,9,11,85,41,43,40,2,8,99.4,49,30.8,37.4,3.2,11,102.8,51,33.2,54,6.4,8.2,79.6,46.8,34.6,44.8,4,9.6,77.8,36.6,32,35.8,2,8,93.93333333,48.93333333,32.86666667,45.4,4.533333333,9.6
1,22,124.2,48.6,32.6,48,4.4,8.2,149.6666667,55.33333333,39,48.66666667,4.333333333,10,91,36,28,38,2,8,89.8,43.2,25,35.2,3,10.6,110.8,51,32.8,50.4,6.2,8.6,95.8,49.8,36.4,48.8,4.6,9.4,80.6,38.2,32.4,36.8,2,8,98.8,48,31.4,44.8,4.6,9.533333333
1,23,111,51.6,38.2,37.2,3.8,6.8,125.6666667,52,43,36,3.666666667,8,78,29,26,28,1,8,73.6,40.4,20.6,34.4,3,10.4,113.2,53.6,34.8,47,5.6,8.6,107.8,51,37.8,50.2,5,9.6,83.8,36.2,31.6,36.8,1.8,8,98.2,48.33333333,31.06666667,43.86666667,4.533333333,9.533333333
1,24,111.6,47.6,34.4,43.2,4.4,6.8,109.6666667,44.33333333,38,44.33333333,4,8,72,20,30,19,1,8,77.8,35.8,17.8,33,3,10,120.6,54,33.8,46.4,5.6,8.8,115.8,56.8,40.6,57.4,5.8,10,81.2,33,32.6,32.2,1.6,8,104.7333333,48.86666667,30.73333333,45.6,4.8,9.6
1,25,94.6,49.6,29.8,45.8,4,7.6,91,51,37.33333333,44,3.333333333,8.333333333,57,14,18,23,2,8,89.2,29,17,32,2.8,8.8,122.8,53.8,33.4,46.4,5.4,9.4,125.8,60.4,44,59.2,5.8,9.6,76.6,28,29,29.6,1.6,8,112.6,47.73333333,31.46666667,45.86666667,4.666666667,9.266666667
1,26,105.6,42.2,29.2,38.2,3.8,7.4,110.6666667,45.33333333,35,35.66666667,4,7.666666667,43,14,20,27,2,8,87.8,31.6,20.8,32.6,2.8,7.8,122,54.8,34.8,43.4,5.4,9.2,138,59.2,45.8,53.2,5.2,8.8,68.2,22.6,24.4,27,1.6,8,115.9333333,48.53333333,33.8,43.06666667,4.466666667,8.6
1,27,95.8,35.6,28.6,32.2,3,7.2,95.66666667,39.33333333,31.66666667,31.33333333,3.666666667,7.666666667,39,15,22,31,3,7,97,38.4,22.4,37,3.6,7.8,120,54.2,34.6,41.8,5.2,9,132.8,54.8,46.2,48.4,4.8,8.2,57.8,18.4,23.2,25.6,1.8,7.8,116.6,49.13333333,34.4,42.4,4.533333333,8.333333333
1,28,79.8,27.6,23.8,35.6,3.6,7,83,28,26.33333333,33.33333333,4,7.333333333,45,24,29,38,3,8,108.2,38.8,24.8,40,3.6,8.2,116.4,52.8,32.6,40.6,4.6,8.8,119.2,50.2,43.8,47.4,4.4,7.8,51.2,17.4,23.8,27.6,2.2,7.8,114.6,47.26666667,33.73333333,42.66666667,4.2,8.266666667
1,29,65.2,36,21.6,38,6.4,7.6,65.33333333,30.33333333,22,31.33333333,5.333333333,7.666666667,64,25,32,42,4,7,114,43,24.8,44,4,8.8,109,43.4,31.6,30.6,2.2,7.8,107,45,40.6,40.6,3.6,7.2,49.6,18.4,24.2,32.2,2.8,7.6,110,43.8,32.33333333,38.4,3.266666667,7.933333333
1,30,87.4,34.2,23.2,34,5,8.4,75.66666667,31.66666667,21.66666667,37,5,10,69,29,37,40,3,7,110.8,47.2,25.4,46.4,4.6,9.8,90.6,41,28.2,28.2,2.2,7.4,97.8,40.6,38,41,3.2,7.4,52,21.4,28,35.6,3,7.4,99.73333333,42.93333333,30.53333333,38.53333333,3.333333333,8.2
1,31,80.6,38.6,22,36.8,5.2,9.6,74.33333333,40,24.33333333,39.66666667,5.333333333,10.33333333,77,36,39,31,2,8,111.2,50.2,28.2,46.8,4.8,10.2,83,35.2,22.6,29.6,2.8,7.6,87,36.6,33.6,43,2.8,8.2,58.8,25.8,31.8,36.4,3,7.4,93.73333333,40.66666667,28.13333333,39.8,3.466666667,8.666666667
2,1,91,38.6,23.6,34.8,4.8,8.4,88,40,26.66666667,32.33333333,4.333333333,8.666666667,78,39,43,22,2,8,105,50,33.6,43.2,4.4,9.8,73,34,18,30,4,8,78.8,37.8,32.4,41.4,2.2,8.6,66.6,30.6,36,34.6,2.8,7.6,85.6,40.6,28,38.2,3.533333333,8.8
2,2,88.4,44.2,24,40.2,5.6,8.6,87,47.33333333,28.33333333,40.33333333,5,9,85,34,37,30,2,7,96.2,51,34.8,42,4.6,9.2,74.4,28.4,14.2,29.6,5.2,8.6,81.8,42.6,31,41.4,2,9,74.6,32.6,37.6,33,2.6,7.4,84.13333333,40.66666667,26.66666667,37.66666667,3.933333333,8.933333333
2,3,96.6,52.8,24.2,46.8,6.8,9.4,95.33333333,49,28,44,5.666666667,9,69,30,33,29,2,7,91.8,48.8,37,40.4,4.2,8.8,68,29.8,14.8,32.8,6.4,9,86,46.6,29.2,44.2,2.6,9.8,75.6,33.6,37.8,30.4,2.2,7.4,81.93333333,41.73333333,27,39.13333333,4.4,9.2
2,4,118.6,46.8,21.4,44.2,5.8,9.4,107,48.33333333,23.66666667,39,5,9.333333333,70,25,32,24,2,8,87.4,46.2,38,41.4,4.2,8.6,71.2,30.2,14.2,35,7.4,9,91.8,48.4,28.6,36.8,2.2,9.8,75.8,32.8,36.8,27.2,2,7.6,83.46666667,41.6,26.93333333,37.73333333,4.6,9.133333333
2,5,112,50.8,31.4,40.6,5.6,8.4,114.6666667,46,32.33333333,34.33333333,5,8.666666667,58,32,36,26,2,7,86,43.4,36.6,38.2,4.2,8.2,74.4,36.8,17.2,37.2,8.2,9,96.6,51.4,29.4,34,2.2,9.4,72,32,36.2,26.2,2,7.4,85.66666667,43.86666667,27.73333333,36.46666667,4.866666667,8.866666667
2,6,115.2,47.4,35.2,41,6.2,7.8,105,42.66666667,35.33333333,34.33333333,5,8.666666667,66,43,30,32,3,7,81.4,39.4,34.6,36.2,4.2,8,87.4,43.4,22,41.4,8.4,8.8,104.6,47.8,27.6,34,2.4,9.2,69.6,32.8,33.6,28.2,2.2,7.2,91.13333333,43.53333333,28.06666667,37.2,5,8.666666667
2,7,104,44.8,32.4,41.8,6.2,7.4,95.66666667,39.33333333,29,37.66666667,5,8.333333333,79,17,16,25,2,8,81.8,37.4,32.8,34.8,4.6,8,98.8,51.2,24.4,45.4,8.6,8.4,99.8,42.8,26.2,31.2,2.4,9,68.4,29.4,29.4,27.2,2.2,7.4,93.46666667,43.8,27.8,37.13333333,5.2,8.466666667
2,8,97.6,44.4,33.6,39.8,5,7.8,83,35.33333333,29.33333333,36.66666667,3.666666667,9.333333333,42,23,16,23,2,8,78,35.8,29.8,30.6,4.8,8.2,113.4,51,26.2,46.2,9,8.2,94.6,40,25.8,25.6,1.6,8.4,63,28,26,26,2.2,7.6,95.33333333,42.26666667,27.26666667,34.13333333,5.133333333,8.266666667
2,9,92.8,46.2,28,43,6.2,8.6,74,45,22.66666667,44.66666667,5.666666667,10.66666667,56,35,18,32,3,8,78.8,35.2,27.2,27.8,4.8,8.6,113.4,52.4,29.6,47.2,9.2,8,88.8,34.2,24.8,24.8,1.6,8,60.2,30,23.2,27.6,2.4,7.6,93.66666667,40.6,27.2,33.26666667,5.2,8.2
2,10,105.6,59,29.2,45.8,7.2,8.8,108.6666667,47.66666667,31,38,5,9.333333333,75,43,30,35,2,8,80.4,34,26,27.8,4.8,8.8,114.6,51.2,30.6,47.4,9,8,76.4,29.2,24.4,24.2,1.6,7.8,63.6,32.2,22,29.4,2.4,7.8,90.46666667,38.13333333,27,33.13333333,5.133333333,8.2
2,11,124,50.8,28.2,47.4,6.6,8.4,118,42,33.33333333,41.33333333,5,8.333333333,86,54,27,40,4,8,85.2,34.2,25.6,29.8,4.8,9.4,112.2,46.8,32,45.8,8.4,8.2,65.2,28,24.8,24.6,1.6,7.8,67.6,34.4,21.4,31,2.6,8,87.53333333,36.33333333,27.46666667,33.4,4.933333333,8.466666667
2,12,116.8,44.2,30.8,45.6,4.6,7.2,104,45.33333333,36.33333333,43.33333333,4,8.333333333,105,27,11,36,3,8,87.4,34.8,26.2,30.4,4.2,9.6,101,47.4,30.8,48.2,8.6,9,63.4,27.8,25.8,26.8,1.6,8,72.8,36.4,20.4,33.2,2.8,8,83.93333333,36.66666667,27.6,35.13333333,4.8,8.866666667
2,13,88.8,39.2,31.6,40,4.4,6.8,89.66666667,35,34.66666667,36.66666667,3.333333333,6.666666667,63,24,15,30,2,8,96.2,35.2,25.6,35,4.4,9.6,102.4,50.8,30.4,48.2,8,9.6,64.4,24.6,26.8,28.2,1.8,8,77,36.6,20.2,34.6,2.8,8,87.66666667,36.86666667,27.6,37.13333333,4.733333333,9.066666667
2,14,78.8,42.6,29,45.2,7.2,7.6,69,37.66666667,31,42.66666667,6,7.666666667,58,37,16,26,2,8,96.4,36,27.8,33.8,3.8,9.2,113,51,29.4,49.2,7.4,10.2,61.6,24.8,26.8,30.6,2,8,77.4,37,19.8,33.4,2.6,8,90.33333333,37.26666667,28,37.86666667,4.4,9.133333333
2,15,85.2,50.4,22,56.6,12.2,9.4,74,39.33333333,31.33333333,49.33333333,7,8.333333333,73,12,21,25,2,0,93.6,39.8,31.4,34,3.8,9.6,116,54,31,49,6.6,10.6,62,24.4,26.2,32.4,2,8,77,30.8,18,31.4,2.6,8,90.53333333,39.4,29.53333333,38.46666667,4.133333333,9.4
2,16,105.8,44.2,23.2,42,8.4,8,86.66666667,38,25.33333333,38.66666667,5.333333333,8,31,19,25,36,3,8,101,41.2,32.2,35,4,9.4,117.4,56,30.4,50.4,6,10.4,61.2,24.8,27,30.2,1.8,8,66,23.8,17.6,30.6,2.4,8,93.2,40.66666667,29.86666667,38.53333333,3.933333333,9.266666667
2,17,100,38,28.4,35.4,3.8,6.6,87,32,29.33333333,34.66666667,3.333333333,8.333333333,47,25,31,37,2,7,109.4,40.2,32,37.8,4.2,10,117.4,55.2,31.8,50,6.2,10,60.8,22,27,28.2,1.8,8,54.4,23.4,21.6,30.8,2.2,7.75,95.86666667,39.13333333,30.26666667,38.66666667,4.066666667,9.333333333
2,18,90.8,39.2,28.2,32,4,6.6,75.33333333,32,25.33333333,32,3.333333333,7.333333333,48,32,37,31,2,7,113.2,43.4,33.6,39.6,4.4,10.4,110,53.6,32.8,52.2,7.6,9.8,56.6,21.6,23.8,29,1.8,8.4,51.4,25,26,31,2.2,7.5,93.26666667,39.53333333,30.06666667,40.26666667,4.6,9.533333333
2,19,92.4,42,26.2,39.6,5.4,7.2,79,39.33333333,21.66666667,41,5.666666667,8.666666667,59,31,38,34,2,8,114.8,46,33.6,42.4,5,10.4,104.4,52.4,32.6,47.4,7.8,9,55.8,24.2,22,29,1.8,8.4,51.6,23.8,30.4,32.6,2.2,7.5,91.66666667,40.86666667,29.4,39.6,4.866666667,9.266666667
2,20,94.4,45.6,25.4,29.2,4.6,6.2,91,33.66666667,22.66666667,28.66666667,2.666666667,7.333333333,64,25,37,31,1,7,114.6,46.6,33,45.2,5.6,9.6,101.6,47.6,31.6,43.8,7.6,8.4,61,25.8,19.8,28.4,1.8,8.6,49.8,26.4,33.6,33.8,2,7.4,92.4,40,28.13333333,39.13333333,5,8.866666667
2,21,95.4,42.2,22.6,35.8,4.4,7.8,80,27.66666667,24.33333333,34,3,9.333333333,54,39,41,50,3,8,100.8,47.4,34.8,46.6,5.8,9,97,43.8,29.2,41.6,8,8.2,65.2,28.8,17.4,32.4,2.2,9.4,54.4,30.4,36.8,36.6,2,7.4,87.66666667,40,27.13333333,40.2,5.333333333,8.866666667
2,22,86,33,15.4,32.8,3.8,9,67,31,20.33333333,30.66666667,3.333333333,9.666666667,79,35,45,18,1,8,88.4,48.4,37.6,43.8,6,7.6,95.8,39.6,27.6,37.6,7.2,8.2,70.4,30.4,17,31.8,2.2,9.6,60.8,32.4,39.6,32.8,1.8,7.6,84.86666667,39.46666667,27.4,37.73333333,5.133333333,8.466666667
2,23,78,27.8,15.8,33.8,3.4,8.6,73,23.66666667,18.66666667,33,3,9.333333333,72,48,44,29,1,8,81.4,44.6,41.2,40.6,5.8,6.2,93.6,35.4,26,31.6,4.8,7.6,72.6,29.6,17.4,31,2.2,10,65.6,35.6,41,32.4,1.6,7.8,82.53333333,36.53333333,28.2,34.4,4.266666667,7.933333333
2,24,70.2,33.4,15.4,34.6,3.6,8.4,60.33333333,31,18.66666667,34,3.333333333,9.666666667,74,40,35,36,2,8,81.6,41.6,41,43.4,5.6,5.8,84.4,30.4,25.4,31.2,4,8,70.4,28.2,17.8,31,2.2,10.6,68.6,37.4,40.4,32.8,1.6,7.8,78.8,33.4,28.06666667,35.2,3.933333333,8.133333333
2,25,78.6,32.6,18.4,35,3.8,7.6,74.66666667,25.33333333,23.66666667,32.33333333,3,8,67,38,14,39,4,8,89.6,40,35.6,48.8,5.8,6.4,73.6,26.4,23.8,32,4,8.4,68.4,29,21.4,31.8,2.2,10.6,69.2,40,35.8,34.4,2.2,8,77.2,31.8,26.93333333,37.53333333,4,8.466666667
2,26,76.8,41.6,25.6,40.4,4.8,7.6,62.66666667,39,35,39,4,8,70,32,35,28,2,9,96.8,39.6,32.4,49.2,5.6,7,65.6,26.2,25.8,31.6,3.6,8.6,67.8,30.6,24.8,32,2,10,72.4,38.6,34.6,30,2,8.2,76.73333333,32.13333333,27.66666667,37.6,3.733333333,8.533333333
2,27,92,41.2,30.4,44.8,5.8,7.6,82.33333333,47.66666667,33.33333333,47.66666667,6.333333333,8.666666667,61,29,38,30,1,8,97.8,42,32.4,47.8,5.2,7.2,65,27.8,28.6,31,3.2,8.4,69.4,34.2,25.2,35.4,2.2,9.8,68.8,37.4,33.2,32.4,2,8.2,77.4,34.66666667,28.73333333,38.06666667,3.533333333,8.466666667
2,28,89.4,49.2,31.2,52,8.8,9,97.66666667,55,35,52.33333333,9.666666667,10,62,26,25,37,2,0,91.4,44.6,30.2,50.8,5.8,7.8,68,25.8,27,31.4,3.4,8.6,74.6,38,27.8,36,2.2,9.4,66.8,33,29.4,34,2.2,8.25,78,36.13333333,28.33333333,39.4,3.8,8.6
2,29,101,77,45,33,7,7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,60,35,19,42,5,0,95.8,43.8,28.8,45,5.6,7.6,64.8,29,27.8,34,3.6,8.4,80.4,39.8,29.2,36.8,2.2,9,64,32,26.2,35.2,2.8,8.333333333,80.33333333,37.53333333,28.6,38.6,3.8,8.333333333
