Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,56.8,21.4,23.2,31.4,4,4.2,48.33333333,25,23,34,2.666666667,4.666666667,116,16,25,28,2,4,100,49,9,60.4,5,4.6,61.2,27,16,40.2,4.5,4.6,72,30,18.2,31.8,1.8,9.4,66.8,16.2,21.6,28,1.6,4.4,77.73333333,35.33333333,14.4,44.13333333,3.766666667,6.2
1,2,55.6,23.2,22.8,37.2,5,4.6,62.66666667,27.66666667,22.66666667,37.33333333,4.333333333,5.333333333,56,15,27,27,2,4,106.6,53,8.6,60.8,5.2,5,70,28.6,14.2,39.8,4.75,4.8,72.2,29.6,18,31,2,9.4,59.8,13.4,23,24.6,1.8,4.2,82.93333333,37.06666667,13.6,43.86666667,3.983333333,6.4
1,3,54.2,30.4,18.4,40.4,5.6,5.8,60,31.33333333,21,40.33333333,4,5.666666667,45,16,14,31,2,5,111.4,58.6,7.4,61.6,5.8,6.8,73.4,30,11.6,39.2,5.25,5,71.2,26.2,19,30.8,2.6,9.6,42.4,13,21.8,23.6,1.8,4.2,85.33333333,38.26666667,12.66666667,43.86666667,4.55,7.133333333
1,4,72.2,32,17.8,47,6,7.2,73,33.66666667,18.33333333,47,4.333333333,7.666666667,46,11,22,28,1,4,124.4,63,7.4,62,7,8.4,76.2,33,10.6,42.2,5.2,5.4,62,26.8,17.2,30.8,3,9.8,39.4,14.2,20.6,23.8,1.8,4.4,87.53333333,40.93333333,11.73333333,45,5.066666667,7.866666667
1,5,73.6,31.8,13.6,46.2,5.2,7,78.33333333,34,14,47.33333333,3.333333333,7,36,9,27,9,2,4,134.8,64.2,7.4,64,8.2,9.8,83.8,33.4,10.6,42.8,5,5.4,60.4,26,16.2,30.6,3.2,9.2,59.8,13.4,23,24.6,1.8,4.2,93,41.2,11.4,45.8,5.466666667,8.133333333
1,6,78.6,22,20.4,37.2,4.4,5.6,83.66666667,22.66666667,17.33333333,35,2.333333333,5,29,14,19,23,2,4,139.4,63.8,6.8,65.2,9,11,86.4,32.8,12.6,42.2,4.6,5,57.8,24.4,16.8,29.4,3.2,9,42.4,13,21.8,23.6,1.8,4.2,94.53333333,40.33333333,12.06666667,45.6,5.6,8.333333333
1,7,59.2,26.6,19,40.4,4.6,6.4,64,27,17,34.66666667,3.666666667,5.666666667,41,21,21,28,2,5,143.8,65.6,7.4,63.8,9,11,85.4,30,13.8,42,4.4,4.6,55.6,23,17.8,28.6,3.4,8.6,39.4,14.2,20.6,23.8,1.8,4.4,94.93333333,39.53333333,13,44.8,5.6,8.066666667
1,8,66.6,25.4,20,41.2,4.8,6.8,70.66666667,28,14,42.33333333,5.333333333,7.333333333,52,37,22,26,4,4,151.6,63.4,7.4,60.6,8.4,9.4,81.8,26.6,18.6,46.2,5.2,4.6,51.4,22.4,18.8,27.8,3.2,8,40.8,18.4,22.2,22.8,2.2,4.2,94.93333333,37.46666667,14.93333333,44.86666667,5.6,7.333333333
1,9,64.6,26,19.4,39.2,4.8,6.6,71.66666667,33.66666667,13,44,6,7.333333333,36,12,21,28,3,5,147.4,54.6,11.2,54.8,6.8,7.2,72.8,24.6,21.2,47.8,5.4,4.8,50.2,19,20.6,30.8,3.2,7.8,38.8,18.6,22,22.8,2.6,4.4,90.13333333,32.73333333,17.66666667,44.46666667,5.133333333,6.6
1,10,61.2,31.2,17.6,39.6,4,6,76,38.33333333,12.66666667,36,3.666666667,5,44,17,29,25,2,4,125.8,46,14.8,48.8,5.4,5.4,66,22.8,24,49.4,5.8,5,43,16.2,24,32.8,3.4,8,40.4,20.2,22.4,26,2.6,4.4,78.26666667,28.33333333,20.93333333,43.66666667,4.866666667,6.133333333
