Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,62,33.8,16.8,39,0.2,3.6,56,32,16.66666667,35,0,2.666666667,92,24,9,28,0,0,101.2,47.4,4.4,39,1,5.4,46.2,24,21.4,30,#DIV/0!,2.75,90,36.25,12.75,36.5,1,#DIV/0!,72,31,8.25,28.75,#DIV/0!,#DIV/0!,79.13333333,35.88333333,12.85,35.16666667,#DIV/0!,#DIV/0!
1,2,66.6,29.4,16.8,37.4,0,2.8,59,33.33333333,16,39,0,2.333333333,62,22,20,26,0,0,100.4,43.8,3.8,41.4,1,5.4,46.2,23.2,23.6,26,#DIV/0!,2.25,76,32.75,16.5,37.5,1,#DIV/0!,76.75,30.5,9.25,27.5,#DIV/0!,#DIV/0!,74.2,33.25,14.63333333,34.96666667,#DIV/0!,#DIV/0!
1,3,59,31.8,18.6,41.4,0.2,3.2,57.66666667,31,16.33333333,40,0.333333333,2.333333333,43,25,18,26,0,0,95.8,37.8,5.6,41.2,1,4.8,40.2,22.8,23.8,25.2,#DIV/0!,2.25,62.5,35,18.25,38.75,1,#DIV/0!,72.25,26.75,12.25,26.25,#DIV/0!,#DIV/0!,66.16666667,31.86666667,15.88333333,35.05,#DIV/0!,#DIV/0!
1,4,62.2,36,16,43.2,0.4,5,57,35.66666667,18.66666667,41,0.333333333,4.666666667,41,25,19,33,0,0,79.8,36.8,7.8,45.2,1,5,39.4,23.2,25.4,27.6,#DIV/0!,3.4,60.5,35.4,18,37.4,1,#DIV/0!,59.5,26.4,13.6,27.6,#DIV/0!,#DIV/0!,59.9,31.8,17.06666667,36.73333333,#DIV/0!,#DIV/0!
1,5,69.4,39.4,12.2,42.6,0.2,5,63,42.66666667,13.66666667,43.33333333,0.333333333,3.666666667,54,33,18,34,0,0,72.2,41.2,8.6,49.4,1,5.4,39.6,26,23.6,31.6,#DIV/0!,4,63.8,37.6,16.6,38,1,#DIV/0!,58.4,25.8,16.8,29.4,#DIV/0!,#DIV/0!,58.53333333,34.93333333,16.26666667,39.66666667,#DIV/0!,#DIV/0!
1,6,80.8,38,11.2,38.2,0.2,4.2,84.33333333,41,9.666666667,35.66666667,0.333333333,2.666666667,66,31,14,30,0,0,74.8,44.4,8.8,49.8,1,5.4,49,27.2,20.6,31,1,4,68.8,38.6,15.2,38.6,1,#DIV/0!,53.2,27.2,17.8,29.8,#DIV/0!,#DIV/0!,64.2,36.73333333,14.86666667,39.8,1,#DIV/0!
1,7,79.6,35.6,12.4,40.8,0.2,4.4,85,35.66666667,9.666666667,36.66666667,0.333333333,3.666666667,63,25,16,27,0,0,79.6,44.2,8.8,47.4,1,5.6,55.2,29.4,16.4,32.8,1,4.6,73.4,38,15.6,37.8,1,#DIV/0!,53.4,27.8,17,30,#DIV/0!,#DIV/0!,69.4,37.2,13.6,39.33333333,1,#DIV/0!
1,8,73,31.2,14.2,35.8,0.2,3.8,73.66666667,32,11.33333333,33.33333333,0.333333333,3.666666667,49,15,18,22,0,0,83.6,43.4,9,45.4,1,5.6,62.2,33.4,12.8,32.6,1,5.4,72,35.4,16,36,1,#DIV/0!,54.6,25.8,17,29.2,#DIV/0!,#DIV/0!,72.6,37.4,12.6,38,1,#DIV/0!
1,9,72.6,30,18.6,42,0.6,3.8,78.66666667,35.66666667,15.66666667,45.66666667,1,4,43,20,23,26,0,0,93,40.6,9.4,45.6,1,5.6,71.4,35,10.6,32.8,1,5,66.4,36.6,16,38.4,1,#DIV/0!,55,24.8,17.8,27.8,#DIV/0!,#DIV/0!,76.93333333,37.4,12,38.93333333,1,#DIV/0!
1,10,52.8,32.2,17.8,41,0.2,3.6,56.66666667,37.33333333,15,41.66666667,0.333333333,3.333333333,35,32,22,36,0,0,90.6,36.6,11.2,44.6,1,5.2,74.2,36.2,9.4,32.4,1,5.2,62.2,36.2,16.2,38.8,1,#DIV/0!,51.2,24.6,18.6,28.2,#DIV/0!,#DIV/0!,75.66666667,36.33333333,12.26666667,38.6,1,#DIV/0!
1,11,62.6,32.4,17.8,39.2,0.2,3.8,68.66666667,38,16,40,0.333333333,3.333333333,62,26,18,27,0,0,83.6,33.6,14,45.2,1,5,73.8,39.6,9.2,35.2,1,5.8,60.2,34,17.4,38,1,#DIV/0!,50.4,23.6,19.4,27.6,#DIV/0!,#DIV/0!,72.53333333,35.73333333,13.53333333,39.46666667,1,#DIV/0!
1,12,63.4,24.6,15,27.4,0.2,3,71.66666667,21.33333333,11,19.33333333,0.333333333,1.666666667,60,21,19,29,0,0,74.2,32.5,16.5,45.25,1,4.75,77.4,41,9.6,36,1,5.8,58,31.6,18.6,35.8,1,#DIV/0!,49.8,22.8,20,28,#DIV/0!,#DIV/0!,69.86666667,35.03333333,14.9,39.01666667,1,#DIV/0!
1,13,64,35.5,17.25,40.75,1.25,4,71,43,14,37,0.5,3,45,19,22,20,0,0,68.25,35,14,43.25,1,4,82.8,43,10,37.8,1,5.8,56.4,33.4,19.4,36.2,1,#DIV/0!,49,23.6,20.8,27.6,#DIV/0!,#DIV/0!,69.15,37.13333333,14.46666667,39.08333333,1,#DIV/0!
1,14,68,30,21.25,39.5,0,3.25,77.5,33,21,38,0,2,37,24,21,30,0,0,66.25,40.75,12.25,40,1,3.75,87.2,40.8,11,36.2,1,5.4,57.4,33.4,20.4,36.4,1,#DIV/0!,47.8,24.4,20.4,28.4,#DIV/0!,#DIV/0!,70.28333333,38.31666667,14.55,37.53333333,1,#DIV/0!
1,15,42.4,36,15.4,43,0,3.4,35.66666667,33.33333333,15.66666667,35,0,1.666666667,52,35,15,38,0,0,78,44.25,10.25,40.25,1.5,4,85,37,13.8,35.8,1,4.8,57.8,33.6,21.4,35.6,1,#DIV/0!,51.2,25,19,28.8,#DIV/0!,#DIV/0!,73.6,38.28333333,15.15,37.21666667,1.166666667,#DIV/0!
1,16,68.6,41.2,17,40.4,0.2,3.8,68.33333333,35.33333333,19,37.33333333,0.333333333,2.666666667,64,27,24,30,0,0,84.75,48.25,7.75,40.5,1.333333333,4.5,78,32.2,18.2,35.2,1,4.2,55.6,33.8,21.2,35.8,1,#DIV/0!,51.6,25.2,20.2,29.4,#DIV/0!,#DIV/0!,72.78333333,38.08333333,15.71666667,37.16666667,1.111111111,#DIV/0!
1,17,70.4,40,15,44.4,0.6,4,62.66666667,39.66666667,14.66666667,44,0.666666667,3,42,27,20,29,0,0,97.5,50,8,42.6,1.25,4.8,66.8,27.8,21.4,35.8,1,4,52.4,39.8,18,41.2,1,#DIV/0!,48,26.4,20.4,29.4,#DIV/0!,#DIV/0!,72.23333333,39.2,15.8,39.86666667,1.083333333,#DIV/0!
1,18,73,41.4,12.2,46.2,0.8,4.8,69.66666667,36,14.33333333,44,0.666666667,3.666666667,52,30,19,30,0,0,100.6,57.4,8.6,48.4,1.2,6,55.6,22.2,25,37.6,1,3.8,60.6,39,15.4,41.4,1,#DIV/0!,49.4,28.6,19.8,31.4,#DIV/0!,#DIV/0!,72.26666667,39.53333333,16.33333333,42.46666667,1.066666667,#DIV/0!
1,19,87.2,46.4,11.4,46,0.6,5,75,36.33333333,13.66666667,40.66666667,0.333333333,3,55,40,14,33,0,0,112.4,63.6,8,52.2,1.4,7,43.6,21,25,39,1,3.6,65.2,37.4,13.4,39,1,#DIV/0!,53,31.8,18.4,32,#DIV/0!,#DIV/0!,73.73333333,40.66666667,15.46666667,43.4,1.133333333,#DIV/0!
1,20,103.8,53.4,9.4,46.6,0.6,5.4,81.66666667,52.33333333,9.666666667,45.33333333,0.666666667,4,65,46,6,34,0,0,125.4,69,6.4,53.4,1.2,7.6,43,20.8,24,39.2,1,3.8,70.8,41.6,10.2,39.2,1,#DIV/0!,55.6,34,16.6,31.2,#DIV/0!,#DIV/0!,79.73333333,43.8,13.53333333,43.93333333,1.066666667,#DIV/0!
1,21,117.6,52.2,8.4,43.6,0.4,5.8,117.3333333,50,11.33333333,43,0.666666667,4.666666667,84,49,4,33,0,0,141.6,70,5.2,53.8,1.2,8,46.2,20.6,22,39.6,1,4,85.2,44.4,8.2,38.4,1,#DIV/0!,59.6,38.4,12.6,31.8,#DIV/0!,#DIV/0!,91,45,11.8,43.93333333,1.066666667,#DIV/0!
1,22,112,45.2,12,43.6,0.2,4.8,105,42.66666667,13.66666667,44.33333333,0.333333333,4,101,40,7,32,0,0,147.4,69.2,5.6,51.6,1.2,7.8,46.8,22,21.6,40.4,1,4,97,39.4,9.6,36.6,1,#DIV/0!,71.4,41,10,32.4,#DIV/0!,#DIV/0!,97.06666667,43.53333333,12.26666667,42.86666667,1.066666667,#DIV/0!
