Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,76.4,41,13.2,28.2,6.6,6.4,109.3333333,57.66666667,17,39.66666667,8,9,89,60,3,49,6,11,107.4,62.4,10.2,45.2,8.2,10.4,124.6,68.8,12.4,43.6,9.2,9.6,63.75,39,18,29.25,5.75,6,94.33333333,49,5,45,4.666666667,9,98.58333333,56.73333333,13.53333333,39.35,7.716666667,8.666666667
1,2,77,39.6,9.6,32.2,7,6.4,108,51.66666667,14.33333333,39,7.666666667,7.666666667,133,64,13,47,6,11,123,69.4,11.2,48.4,8.6,11,121,60,14,37,8.8,8.4,70.25,38.25,14.75,36,5.75,7,106.6666667,54,6.666666667,46.33333333,5.333333333,10,104.75,55.88333333,13.31666667,40.46666667,7.716666667,8.8
1,3,76.4,52.2,10.2,49.4,9,9.6,99.33333333,55.33333333,9.666666667,51.66666667,8.333333333,10.66666667,141,58,18,48,7,13,137.4,71.8,12.2,50.4,8.8,11.4,103.8,49,15.8,32.2,9,7.2,80.75,44.25,11.75,44.25,6,8.75,121,55,9.5,46.75,5.75,10.75,107.3166667,55.01666667,13.25,42.28333333,7.933333333,9.116666667
1,4,104.4,53.6,12.6,42,8.6,8.6,111,54.33333333,13.33333333,40,7,8,127,56,9,54,7,13,142.4,67.4,14,47.4,8.4,10.4,84.6,49,13.2,37.4,9.2,7.6,97.25,47.6,13.2,41.6,5.8,8.4,122.5,55.2,9.4,48.2,6,11.2,108.0833333,54.66666667,13.46666667,42.13333333,7.8,8.8
1,5,100.8,44.4,13,36.6,8.4,6.6,101.6666667,41.33333333,13.66666667,38,7.666666667,6.666666667,121,43,5,24,5,9,131.2,57.4,16.4,44.6,8.2,9.2,85.4,48.8,13,37.8,9,7.8,101,50,11.4,42.6,6,8.2,122.2,56.2,9.6,44.4,6.2,11.4,105.8666667,52.06666667,13.6,41.66666667,7.733333333,8.4
1,6,80.2,51,11,47.4,11.2,8.4,80,57,7,52,8.333333333,10.33333333,99,10,9,20,4,7,109.6,50,12.8,46.8,8,8.8,90.2,52,11.4,40.4,9,8.4,100.2,53.8,10.6,45.2,6.4,8.8,124.2,46.2,10.8,38.6,5.8,10.6,100,51.93333333,11.6,44.13333333,7.8,8.666666667
1,7,100.6,44.4,14.8,41.4,13,7.2,121.6666667,46.33333333,15,39.33333333,7.666666667,7.666666667,30,28,17,14,4,8,99.2,41.8,11.8,45,7.4,8.4,101.6,55.8,10,46,9.2,9.4,107.4,55,13.4,41.6,6.8,8.2,103.6,39,11.6,32,5.4,10,102.7333333,50.86666667,11.73333333,44.2,7.8,8.666666667
1,8,87.6,50.6,16,36,9.2,6.8,95.66666667,53.33333333,20,27.33333333,8,6,67,52,22,23,5,8,86.8,42.8,14.2,38.6,7.2,7.8,113,55,12,43,9,8.8,106.2,53.6,15.2,36.4,7,6.6,88.8,37.8,12.4,27,5,9,102,50.46666667,13.8,39.33333333,7.733333333,7.733333333
1,9,93.2,41.4,16.2,33,8.2,6.6,98.33333333,42.33333333,15.33333333,30.66666667,6.666666667,6,126,61,8,46,5,11,90.6,41.8,16,35.2,7,7.2,111.8,49.4,14.2,36.8,8.6,8,96,53,12.4,40.4,7.4,6.8,88.6,38.8,12.2,25.4,4.6,8.6,99.46666667,48.06666667,14.2,37.46666667,7.666666667,7.333333333
1,10,78.2,45.4,16,33,9,7,78.33333333,44.66666667,13.66666667,35.66666667,7.666666667,7.333333333,144,56,21,43,6,11,89,43,16.6,33.8,7,7,100.2,46.6,14.8,33,8.4,7.4,95.2,56.6,11.2,44.2,7.6,8,93.2,41.4,15.4,29.2,4.8,9,94.8,48.73333333,14.2,37,7.666666667,7.466666667
