Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,116.25,58.5,22.25,30,11.75,8.75,113,53.66666667,24.33333333,26.33333333,6.666666667,8,52,32,15,32,3,5,129.2,53.4,20.4,34.6,8,8.8,139.6,67.2,29.6,35.6,9.4,7.6,99.25,41.75,23.5,17.5,5,5.5,113.25,39.5,23,29,3.75,6,122.6833333,54.11666667,24.5,29.23333333,7.466666667,7.3
1,2,140.25,62.75,27.25,29.5,9,8.75,132.6666667,54,29.66666667,24.66666667,5.333333333,8,72,43,11,29,4,6,134.8,58.4,20.6,36.8,7.6,9.4,142.8,59.6,28.6,25.6,5.4,9.2,115.25,45,24.25,19.75,5,5.75,92.5,33.75,17.5,27.75,3.5,5,130.95,54.33333333,24.48333333,27.38333333,6,8.116666667
1,3,153.4,56.8,24.6,36.4,10,9,133,30,25,26,4.666666667,6.333333333,133,55,23,22,3,6,140.2,59.2,23,37,7.8,9.2,138.6,50.2,29.2,22,5,8.6,124.5,43,25,21.75,4.75,5.75,89.25,38.25,18.25,25.5,3.25,5,134.4333333,50.8,25.73333333,26.91666667,5.85,7.85
1,4,128.6,39,27.8,24.8,6.2,6.8,90,30.33333333,26.33333333,21.33333333,4,6.666666667,137,45,25,24,3,5,143,55,27.2,32.8,7.2,8.6,120,31.2,28.6,19.6,4.4,7,117.5,41.4,24,22.2,4.4,5.8,98.5,39.6,19.6,25.2,3.2,5,126.8333333,42.53333333,26.6,24.86666667,5.333333333,7.133333333
1,5,104.8,48.8,25,22.6,6.4,7.4,92,39.33333333,23,25.66666667,4.333333333,6.666666667,102,29,29,26,4,6,137,51.4,26.8,31,6.6,8.8,84.4,31.4,26.6,19.4,4.2,7,115,41.6,23.6,24,4.2,5.6,99.2,40.8,20.6,26.6,3.4,5.6,112.1333333,41.46666667,25.66666667,24.8,5,7.133333333
1,6,122.2,35.6,23.4,22.6,7.2,6.6,109.6666667,23.33333333,23,23.33333333,4.333333333,6,78,33,12,29,3,11,130.4,42,29,28.6,6,8.2,88.6,28.2,24.8,18.8,4,7.2,115.4,36,22.4,25.2,3.6,4.8,104.4,41,20,26,3.4,6.8,111.4666667,35.4,25.4,24.2,4.533333333,6.733333333
1,7,103.2,62.6,23,24.6,11,10.6,80.66666667,63,21.66666667,22.66666667,5.666666667,11.33333333,92,43,19,22,3,11,113.8,39.4,23.6,26.4,5.8,9,86.2,36.6,23.6,21,4.4,8.6,103.2,35.6,24.2,24,3.6,4.6,108.4,41,21.6,24.6,3.2,7.8,101.0666667,37.2,23.8,23.8,4.6,7.4
1,8,159.6,66.4,27.8,33.2,14,10.4,162.6666667,43.66666667,28.33333333,21,7,8,119,36,23,21,3,8,110.6,40,23.6,23.2,6.2,9.6,104.2,43.6,24.6,22.8,5.2,9,106.2,36.2,25.2,22.4,3.8,4.6,105.6,37.2,21.6,24.4,3.2,8.2,107,39.93333333,24.46666667,22.8,5.066666667,7.733333333
1,9,146,66.6,25.6,34.4,12.4,10.2,114.6666667,47.33333333,25.66666667,24.33333333,6.333333333,7.666666667,104,21,22,18,3,6,113,47,23.2,23.8,6.8,10.4,113.8,49.6,24.6,24,6,9,109,33.4,25.2,22.4,3.8,4.4,99,32.4,21,23.2,3.2,8.4,111.9333333,43.33333333,24.33333333,23.4,5.533333333,7.933333333
1,10,145.8,60,28.4,28.4,13.2,8.4,118.3333333,39,24.66666667,24,7,6.666666667,64,29,25,19,3,7,127.4,49,24.8,22.2,7.2,10,120.6,50.2,25.2,23.6,7.2,8.8,103.6,30.6,24,23.4,3.8,5,91.4,32.4,20.2,21.8,3,8.6,117.2,43.26666667,24.66666667,23.06666667,6.066666667,7.933333333
