Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,34.6,17.2,14.6,6,1.4,3.8,30,19.66666667,18,8,1.666666667,5.333333333,35,27,13,0,1,4,23.8,37,20.8,14.4,8,2,32.6,19.2,11.8,11.8,1.6,4.2,53,26,29.5,#DIV/0!,3,5.75,46.75,28.75,15.75,#DIV/0!,1.25,3.666666667,36.46666667,27.4,20.7,#DIV/0!,4.2,3.983333333
1,2,44.25,26.75,19,9.25,1.5,5.75,40.33333333,25,18.33333333,8.666666667,2,6.666666667,40,31,14,0,1,0,38.4,21.6,14.4,8,2,5.75,31.4,19.8,11.8,13.2,1.6,4.6,52.5,27.25,31.25,#DIV/0!,2.5,6,45.75,29,15.5,#DIV/0!,1,3.5,40.76666667,22.88333333,19.15,#DIV/0!,2.033333333,5.45
1,3,39.8,21.6,18.4,7.8,2,4,48.66666667,22.33333333,17.66666667,7,2,5,44,29,16,0,1,0,35.6,18.6,13.4,7.8,2,5.75,31.8,19.8,11.4,14.2,1.6,4.8,54.5,27.75,32,#DIV/0!,2,6,43,27.75,15,#DIV/0!,1,3.5,40.63333333,22.05,18.93333333,#DIV/0!,1.866666667,5.516666667
1,4,38.4,22.2,18.4,8.4,2.6,4.6,38,24.66666667,18,7.666666667,2.666666667,5.666666667,42,29,19,0,1,4,33,18.8,13.6,8,2,5.5,30.4,17,11.4,15.4,2,4.8,53.75,29.8,32.4,#DIV/0!,2.2,6.2,40.25,28,15.8,#DIV/0!,1,3.666666667,39.05,21.86666667,19.13333333,#DIV/0!,2.066666667,5.5
1,5,46.4,23.2,15.8,10.4,2.6,5,51.33333333,25.66666667,16.33333333,11.66666667,3,6.666666667,41,28,15,0,1,5,32.4,18.4,11.2,8.4,2.2,5.6,32.8,19.6,10.4,17.4,2.4,5.4,59.8,32.4,31.4,#DIV/0!,2.2,6.6,40.4,28.8,15.4,#DIV/0!,1,4.333333333,41.66666667,23.46666667,17.66666667,#DIV/0!,2.266666667,5.866666667
1,6,46.6,23,16.4,9.6,5.2,8.2,53.33333333,25.66666667,18,8.333333333,7,12.33333333,36,19,13,0,1,4,35,18.6,13,8.4,4.6,5.8,41.2,22,12.6,17.6,3.4,5.2,62.8,33.4,27.4,#DIV/0!,2,10.8,40.6,27.2,15.4,#DIV/0!,1,4.333333333,46.33333333,24.66666667,17.66666667,#DIV/0!,3.333333333,7.266666667
1,7,41.8,21.8,13.8,9.8,5.8,3.8,45,24,14.66666667,9.666666667,7.666666667,5.333333333,25,21,14,0,2,0,37.2,20,15.6,8.4,7.8,5.6,44.2,21.2,12,18.2,4,5,60.4,32.2,23.2,#DIV/0!,2,10.4,37.6,25.2,15.4,#DIV/0!,1.2,4.333333333,47.26666667,24.46666667,16.93333333,#DIV/0!,4.6,7
1,8,40.2,22,15.2,8.8,4.2,3.8,44.66666667,24.33333333,18,9.333333333,5,5.333333333,30,28,15,0,2,4,40.6,21.4,16.8,9,9.4,6,42.8,21.2,13.6,19,4.4,4.8,56,32,20.6,#DIV/0!,1.75,10.4,34.8,25,15.2,#DIV/0!,1.4,4.25,46.46666667,24.86666667,17,#DIV/0!,5.183333333,7.066666667
1,9,41.2,22.2,13.8,8,3,4,46.66666667,24.33333333,12.33333333,8.333333333,3.333333333,4.666666667,44,29,11,0,2,4,44.4,23.4,17.6,9.4,10.2,6.2,45.4,20.8,12.8,19,4.4,4.8,54.8,30.2,17.2,#DIV/0!,1.25,9.6,35.2,25,13.6,#DIV/0!,1.6,4.25,48.2,24.8,15.86666667,#DIV/0!,5.283333333,6.866666667
1,10,39,21.4,12.2,7.2,2.2,4,42.66666667,21.66666667,12.33333333,6.666666667,2.333333333,4.666666667,40,27,16,0,2,5,48.2,24.6,17.6,8.8,10.4,6.2,44.2,18.6,11,16.6,4,4.6,47,28.8,16.6,#DIV/0!,1,8.6,35,24.8,13.8,#DIV/0!,1.8,4.25,46.46666667,24,15.06666667,#DIV/0!,5.133333333,6.466666667
