Month,Day,avg5y_pm25,avg5y_pm10,avg5y_o3,avg5y_no2,avg5y_so2,avg5y_co,avg3y_pm25,avg3y_pm10,avg3y_o3,avg3y_no2,avg3y_so2,avg3y_co,2020_pm25,2020_pm10,2020_o3,2020_no2,2020_so2,2020_co,avg5d_2017_pm25,avg5d_2017_pm10,avg5d_2017_o3,avg5d_2017_no2,avg5d_2017_so2,avg5d_2017_co,avg5d_2018_pm25,avg5d_2018_pm10,avg5d_2018_o3,avg5d_2018_no2,avg5d_2018_so2,avg5d_2018_co,avg5d_2019_pm25,avg5d_2019_pm10,avg5d_2019_o3,avg5d_2019_no2,avg5d_2019_so2,avg5d_2019_co,avg5d_2020_pm25,avg5d_2020_pm10,avg5d_2020_o3,avg5d_2020_no2,avg5d_2020_so2,avg5d_2020_co,avg3y_avg5d_pm25,avg3y_avg5d_pm10,avg3y_avg5d_o3,avg3y_avg5d_no2,avg3y_avg5d_so2,avg3y_avg5d_co
1,1,57.4,60.4,13.4,26,11,9,43.66666667,58.33333333,14.33333333,28,4,8.666666667,136,81,4,24,4,11,213.75,108.75,26.5,43.5,13,19,NA,NA,NA,NA,NA,NA,118,45.25,20,24.75,3.5,9,151,69,9,27,5,11,165.875,77,23.25,34.125,8.25,14
1,2,106.6,76.6,15.8,28,11,12.2,118.3333333,67.33333333,14,29.33333333,7,12.33333333,165,86,5,25,3,9,218.75,122.5,26.5,48.75,13,20.75,NA,NA,NA,NA,NA,NA,125.75,48.5,17.75,28.5,4,11,150.3333333,77.33333333,5.333333333,26,4.666666667,10.66666667,172.25,85.5,22.125,38.625,8.5,15.875
1,3,123.4,115.2,15.6,36,15.6,18.2,131.6666667,78,8.333333333,26.66666667,4.666666667,13.33333333,182,104,3,27,3,13,204,136.25,23,52.25,12.5,22.25,NA,NA,NA,NA,NA,NA,139,57.75,16.75,31,4.25,12.5,161,84,4.75,26.25,4.25,11.25,171.5,97,19.875,41.625,8.375,17.375
1,4,201.8,70.2,24.4,25.6,11.4,14.8,151.6666667,44,11,17,2.333333333,10.33333333,194,82,2,22,4,14,223.5,113.75,19.75,45,9,19.75,NA,NA,NA,NA,NA,NA,159,66,17.4,30.2,4.2,12.8,169.25,83.6,4.2,25.4,4.2,11.8,191.25,89.875,18.575,37.6,6.6,16.275
1,5,156,70.4,18.2,22,12.2,13.4,110.3333333,44.66666667,12.33333333,18.33333333,3,9.333333333,165,29,5,21,3,14,201.75,94.6,20,40.2,7.6,17.4,NA,NA,NA,NA,NA,NA,172,80.8,16,31.4,5,15,168.4,76.4,3.8,23.8,3.4,12.2,186.875,87.7,18,35.8,6.3,16.2
1,6,165.8,65.2,26,22.8,8.2,12.2,108,39.33333333,11,16.66666667,2.666666667,8.666666667,70,23,19,20,2,13,176.6,77.6,16.8,35,6.4,16.6,NA,NA,NA,NA,NA,NA,195.4,86.4,17.2,29.8,5.4,15.8,155.2,64.8,6.8,23,3,12.6,186,82,17,32.4,5.9,16.2
1,7,140.8,83.6,27.4,30.6,11.8,15.4,99.33333333,46,14.66666667,17.33333333,3,9.333333333,71,49,21,20,5,12,158.8,63,16.6,29.2,4.8,14.8,NA,NA,NA,NA,NA,NA,201.8,88.2,17.8,28.4,4.6,15.8,136.4,57.4,10,22,3.4,13.2,180.3,75.6,17.2,28.8,4.7,15.3
1,8,160.2,81.8,20.2,32.8,13.2,18.2,109,44,13.33333333,21.66666667,5.666666667,13,129,22,19,18,3,8,143.8,49.4,20.6,26.6,5.6,13.8,NA,NA,NA,NA,NA,NA,203.2,81.4,16.8,28,4.4,16.6,125.8,41,13.2,20.2,3.4,12.2,173.5,65.4,18.7,27.3,5,15.2
1,9,162.6,80.8,25.4,31.4,11.2,17,102,34,14.33333333,17.66666667,3.333333333,8.666666667,71,31,14,16,2,8,126.4,57.2,24.4,27.8,6.4,13.2,NA,NA,NA,NA,NA,NA,190.8,67.6,15,27.2,4.2,16.2,101.2,30.8,15.6,19,3,11,158.6,62.4,19.7,27.5,5.3,14.7
1,10,158.6,91.4,17.8,31,11.4,16.6,96.33333333,44.66666667,8.666666667,18.33333333,3.666666667,9.666666667,105,39,14,19,2,7,139.6,70,23.8,29.4,7.6,14.8,NA,NA,NA,NA,NA,NA,169.2,54.8,13.4,25.6,3.4,14.8,89.2,32.8,17.4,18.6,2.8,9.6,154.4,62.4,18.6,27.5,5.5,14.8
